experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	highly polished on - highway truck or discreet industrial applications	is	be	Sing	whatever	cop	Whatever the need is, highly polished on-highway truck or discreet industrial applications, we are here for you.	c4-train.00001-of-01024_parsed_xad.conllu
SP	True	False	Sing	Not Pronoun	Plur	Not Pronoun	either the president - elect or his advisers	hope	hope	Plur	hope	advcl	Yet, for a host of reasons, the nuclear pact concluded between the Iran and the P5+1 powers (the U.S., U.K., Russia, China, France and Germany) last summer is likely to prove more resilient than either the president-elect or his advisers hope.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a musician or filmmaker	hires	hire	Sing	hire	advcl:relcl	It’s sometimes hard for a creative to step outside the “maker” box and into the “manager” mindset long enough to think strategy, to make a plan, and to implement a long-reaching series of tactics (in fact, this is often why a musician or filmmaker hires me to help).	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Some apps or items	choose	choose	Plur	choose	root	Some apps or items choose to opt for the shotgun method where they make their app compatible with whatever and also some choose to stick to a couple of alternatives however actually concentrate on refining those couple of options.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or the person you care for	is	be	Sing	need	cop	If you or the person you care for is urgently in need of support, please ask us to refer you to social services or call them directly without delay.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	He or she	has	have	Sing	have	root	“He or she has to think about how to relay the strategy.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Parents who want to find tutoring in Yreka to help their son or daughter , or older students who are seeking help in their classes ,	get	get		get	root	Parents who want to find tutoring in Yreka to help their son or daughter, or older students who are seeking help in their classes, get a little extra support with customized lessons.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	date	cop	It’s so important that he or she is up to date on what you’re doing.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	petsmart or petco	has	have	Sing	have	parataxis	not sure where ur from by petsmart or petco has the $1 per gallon deal going on.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	no coastal watches or warning	are	be	Plur	effect	cop	But the storm is far from land and no coastal watches or warning are in effect.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The Elongation or stretchiness of the ROAM rings	have	have	Plur	prove	aux	The Elongation or stretchiness of the ROAM rings have proven to be minor in the last month and a half of wear.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Personal Pronoun	UNK	Not Personal Pronoun	Who or What	Is	be	Sing	blame	cop	Who or What Is To Blame?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	have	root	2) After saving that person he or she has only 30 minutes to live before dying.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	rats or mice	have	have	Plur	find	aux	Scratching noises and chewed holes are another indication that rats or mice have found a home in your property.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	my solicitor or conveyancer	Does	do	Sing	pay	aux	Does my solicitor or conveyancer pay my Stamp Duty on my behalf when buying a property in Peterborough for £635,000?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	wants	want	Sing	want	advcl	Listen to your child, let him or her talk as much as he or she wants.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	yet another program or add on function	encrypts	encrypt	Sing	encrypt	root	And yet another program or add on function encrypts the data so it can’t be intercepted by cyberthieves.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a POS provider or terminal hardware manufacturer	does	do	Sing	have	aux	Sometimes, if a POS provider or terminal hardware manufacturer doesn’t have a payment processing integration or encryption key, they create connectivity for merchants via a payment gateway integration.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	a neutral person or persons	facilitate	facilitate	Plur	facilitate	acl:relcl	Mediation is a process in which a neutral person or persons facilitate communication between the disputants to assist them in reaching a mutually acceptable agreement.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or a loved one	has	have	Sing	sustain	aux	If you or a loved one has sustained personal injury from the negligence actions of another, call the personal injury attorneys at Kinney, Fernandez, and Boire.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	a board or two in these sentries of the skyline	go	go	Plur	go	ccomp	Well it turns out that a board or two in these sentries of the skyline go bad about once every twenty years.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the restaurant or grocery store you frequent	does	do	Sing	carry	aux	If the restaurant or grocery store you frequent doesn’t carry MSC certified fish, you can download a letter to send to the manager here.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The enclosure or housing that protects the motor , associated electrics / or electronics and gears ,	varies	vary	Sing	vary	root	The enclosure or housing that protects the motor, associated electrics/or electronics and gears, varies depending on the area of application of the electrical actuator.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	What city or cities	show	show	Plur	show	parataxis	SC: What city or cities show you the most love when on tour?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	Not Pronoun	it ( or any person connected to it )	provides	provide	Sing	provide	advcl	In particular, he/she will take all reasonable steps to ensure that such confidentiality is maintained where it (or any person connected to it) provides training or training materials in relation to a qualification.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	Ketupat , or sometimes also called Malay rice dumpling ,	is	be	Sing	type	cop	Ketupat, or sometimes also called Malay rice dumpling, is a type of food from the Indonesian / Malaysian part of the world.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	$ 175 / week or $ 700 / month	includes	include	Sing	include	root	$175/week or $700/month includes utilities and furnishings.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	True	Sing	Not Pronoun	Sing	1	neither Dennis or I	take	take	Plur	take	ccomp	P.S. I don’t think I’ve shared with you that neither Dennis or I take any salary from Ever Thine Home.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your conference or festival	needs	need	Sing	need	advcl	If your conference or festival needs promoting, Tina develops and manages social media campaign projects.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	new muncie m 22 4 speed street or strip	are	be	Plur	transmission	cop	new muncie m22 4 speed street or strip these are brand new muncie transmissions with ultra heavy duty case and the latest updates / revisions improving them compared to the original "rock crusher" a direct replacement for your old muncie or t-10 (note: you are purchasing the new .	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you ( or anyone )	comes	come	Sing	come	advcl	If you (or anyone) comes across old links that can be updated, please do so.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	violence or political manipulation	is	be	Sing	way	cop	Let's also not discuss his claim that violence or political manipulation is the only way to achieve anything.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Your situation or scenario	does	do	Sing	exclude	aux	Your situation or scenario certainly does not exclude you from succeeding as an actual RE investor!	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	movies or books	are	be	Plur	guide	cop	You can steal some ideas, but movies or books are not good guides for how to create games.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a movie or book	is	be	Sing	script	cop	Then there’s the obvious problem: a movie or book is scripted.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the writer or director	wants	want	Sing	want	acl:relcl	Actors always do exactly what the writer or director wants.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The UIDAI or Unique Identification Authority of India – the issuer of the 12 - digit Aadhaar number	has	have	Sing	issue	aux	The UIDAI or Unique Identification Authority of India – the issuer of the 12-digit Aadhaar number – has issued directives for generating OTP either through the service provider’s website or through the Interactive Voice Response (IVR) services to facilitate the Aadhaar linking with mobile phone number, the government has said on microblogging site Twitter.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The chicken coxinhas or stuffed chicken muslitos ,	are	be	Plur	croqueta	cop	The chicken coxinhas or stuffed chicken muslitos, in fact, are croquetas with form of chicken thighs, with the mass very similar to the one of risoles.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Mark of the beast or the seal of God	is	be	Sing	mark	cop	Question #7: is the Mark of the beast or the seal of God a visible Mark?	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	half or less	maintain	maintain	Plur	maintain	parataxis	Some will have done both, so half or less maintain their savings for future use.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	Plur	Not Pronoun	UNK	Not Pronoun	small kids or the handicapped	use	use		use	ccomp	Cars routinely park across the sidewalk blocking driveways making it very difficult for small kids or the handicapped to use the sidewalk.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Minimal cutting or chopping	needs	need	Sing	need	root	Minimal cutting or chopping needs to be done and, once the bacon is wrapped around the asparagus and sprinkled with some grated parmesan, these little bundles will be ready for baking!	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	like	aux	If you feed your hamster a variety or pellets and seeds, don't be surprised is the pet picks out favorites and neglects food that he or she doesn't like.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	disability or caring responsibilities	are	be	Plur	factor	cop	However there are occasions when, for example, disability or caring responsibilities are factors that applicants wish the Council to take into account in decision making.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Biomedical waste or bio medical waste	goes	go	Sing	go	root	Biomedical waste or bio medical waste goes by many different names.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the potential difference ( or e.m.f. ) across the cell	is	be	Sing	volt	cop	If one joule is added to each coulomb as they pass through the cell, then the potential difference (or e.m.f.) across the cell is one volt.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	some unexpected catastrophe -- or some unexpected boon --	arise	arise		arise	csubj	It would be easy for some unexpected catastrophe -- or some unexpected boon -- to arise.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a product or service	is	be	Sing	generate	aux	When a product or service is generating a volume of waste, or consuming and amount of energy which are high in relation to a single unit of product or service, or when material to be discarded demands a supplementary input of matter or energy to be reabsorbed in the biocycle of the planet, there is a clear disadvantage for all stakeholders in the process.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Adele or Adele Laurie Blue Adkins	is	be	Sing	singer	cop	Adele or Adele Laurie Blue Adkins is an English singer and songwriter.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The mystic 8 ball or eight ball	give	give	Plur	give	root	The mystic 8 ball or eight ball give you answers !	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	pipes or utility outlets	need	need	Plur	need	conj	Larger holes may require replacing or repairing the entire area, Nack said, and pipes or utility outlets need to be covered.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Tamarack Lake or the Whitetail Lake	are	be	Plur	floorplan	cop	We have great news for you if the Tamarack Lake or the Whitetail Lake are your favourite floorplans -	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	face	aux	"When you look [at] someone like a coloured or a white person, you think that he or she doesn't face the problems that you're dealing with.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a jury or judge	ruling	rule		rule	acl	You don’t take the chance of a jury or judge not ruling in your favor — i.e. you don’t end up with a settlement amount of 0 dollars.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a judge or jury	rules	rule	Sing	rule	advcl	Even if a judge or jury rules in your favor and awards you the amount of money you deserve, the defense can — and often will — file appeals and post-trial motions that could seriously delay you getting your check.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a judge or jury	rules	rule	Sing	rule	advcl	If a judge or jury rules in your favor, all those little expenses that you did not foresee coming after your accident could be repaid to you.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	He or she	is	be	Sing	person	cop	He or she is the best person to help you make that decision.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Leakage of gasses or spilling of chemicals	accounts	account	Sing	account	root	Leakage of gasses or spilling of chemicals also accounts for many industry related mishaps.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a woman ( or man ) in Nigeria	loves	love	Sing	love	ccomp	I’ve talked to 90-somethings who are sure a woman (or man) in Nigeria loves them and just needs money for a flight home.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Sequin Converse or loafers	are	be	Plur	idea	cop	Sequin Converse or loafers are a great idea for creating a playful modern look.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	First Holy Communion , or Holy Eucharist ,	is	be	Sing	occasion	cop	First Holy Communion, or Holy Eucharist, is a celebratory occasion, attended in church by friends and family and typically followed by a party to honor the new communicant.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Flowers or a flowering plant , like a white orchid ,	are	be	Plur	gift	cop	Flowers or a flowering plant, like a white orchid, are good party gifts.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Lao script , or Akson Lao , ( Lao : ອັກສອນລາວ [ ʔáksɔ̌ːn láːw ] )	is	be	Sing	script	cop	Lao script, or Akson Lao, (Lao: ອັກສອນລາວ [ʔáksɔ̌ːn láːw]) is the primary script used to write the Lao language and other minority languages in Laos.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any tone marks or superscript vowels	appear	appear	Plur	appear	root	In a consonant cluster any tone marks or superscript vowels appear over the second consonant.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	True	Sing	Not Pronoun	Sing	Not Pronoun	Neither Teresa or Steve	have	have	Plur	travel	aux	Neither Teresa or Steve have ever traveled to the Washington DC area, so we saw everything with fresh and amazed eyes.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or someone you know	is	be	Sing	use	aux	It’s critical you know the risks, symptoms and how long does phenergan stay in your system for a drug test signs of meth overdose, especially if you or someone you know is using.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Each regulation or law	has	have	Sing	have	root	Each regulation or law has its own table of contents page, to show you what's in each section.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	CRE or oscMax	is	be	Sing	run	aux	CRE or oscMax Error: explain CRE or oscMax is running and the head code in the header_tags_seo_silo.php file has Header Tags code installed, which is a mistake.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	CRE or oscMax	is	be	Sing	run	aux	CRE or oscMax is running and the head code in the header_tags_seo_keywords.php file has Header Tags code installed, which is a mistake.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	CRE or oscMax	is	be	Sing	run	aux	CRE or oscMax is running and the head code in the header_tags_test.php file has Header Tags code installed, which is a mistake.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	CRE or oscMax	is	be	Sing	run	aux	CRE or oscMax is running and the head code in the header_tags_seo.php file has Header Tags code installed, which is a mistake.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	UNK	Not Personal Pronoun	you or who you are following	are	be	Plur	track	cop	When the horses look prouder, taller, have more presence, are more relaxed, more willing and are offering things with a happy expression on their face, then you will know you or who you are following are on the right track.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a site or its service provider	transfers	transfer	Sing	transfer	acl:relcl	Yes (cookies are small files that a site or its service provider transfers to your computers hard drive through your web browser (if you allow) that enables the site's or service provider's systems to recognize your browser and capture and remember certain information.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	and vacation cabin space or room	senses	sense	Sing	sense	conj	Inner surface coloring mixture seems to be extra awesome along with primary the need for stitches and vacation cabin space or room senses proportional.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The softness or firmness of a mattress	does	do	Sing	affect	aux	The softness or firmness of a mattress does not affect the support level since most quality innerspring systems are the same among different beds.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	feels	feel	Sing	feel	conj	This can ensure that your loved one is well cared for and that he or she feels safe at the facility.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	what duties or roles ,	fall	fall	Plur	fall	root	If not, what duties or roles, if any, fall to or on Elected Members under the WHS Act.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	certain characters and / or their respective books	are	be	Plur	horror	cop	As Ive said before Ive struggled with deciding if certain characters and/or their respective books are horror or not.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	Sin , or coming short of the measure of who God is ,	is	be	Sing	that	cop	Sin, or coming short of the measure of who God is, is that which stood in the way, or stood between God and the human race.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Bovines or Biodiversity : The National Campaign to End Abusive Public Lands Grazing	is	be	Sing	conference	cop	"Bovines or Biodiversity: The National Campaign to End Abusive Public Lands Grazing," is this year's RangeNet conference, set in Boise, Idaho, October 9.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	ethical hackers or “ pen testers ”	gather	gather	Plur	gather	root	Before initiating pen testing, ethical hackers or “pen testers” gather all the information about applications.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a penetration tester or hacker	has	have	Sing	have	advcl	Once a penetration tester or hacker has all the basic information about the target applications, he moves to next stage by sending packets to the target system.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	An ethical hacker or pen tester ( with a team of hackers / testers )	spends	spend	Sing	spend	root	An ethical hacker or pen tester (with a team of hackers/testers) spends hours looking for weaknesses that can compromise the application’s function.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	3	Sing	Not Pronoun	they , or their family	own	own	Plur	own	acl:relcl	Over 80% of Tenafly residents reside in a home that they, or their family own.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your Gemini friend or dear one	is	be	Sing	photographer	cop	If your Gemini friend or dear one is a passionate photographer, you can add to his/her happiness of clicking awesome pictures by gifting a useful Camera stand.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	shot blasting or specialty diamond grinding tooling	makes	make	Sing	make	root	Whether sections of a concrete floor are painted, or the whole thing is covered in paint, shot blasting or specialty diamond grinding tooling makes quick work of epoxy paint removal.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	nuclei or nuclear particles	collide	collide	Plur	collide	acl:relcl	Nuclear physics defines an atomic or nuclear reaction as a process during which nuclei or nuclear particles collide with each other.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	An Automo promo or on - air workflow	negates	negate	Sing	negate	root	An Automo promo or on-air workflow negates most repetitive manual labour.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a pepper - crusted ribeye or tender flank steak	does	do	Sing	do	conj	There’s nothing quite like a juicy beef fillet to celebrate a birthday, holiday or the end of a long week, and a pepper-crusted ribeye or tender flank steak does just the trick.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any new perks or discounts	ɦave	have	Plur	opеned	aux:pass	Іt alsօ cɑnnot hurt to shop аround once a yeaг tо sеe if any new perks or discounts ɦave opеned սp witҺ othеr companies.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	This encouragement or “ reward ”	happens	happen	Sing	happen	root	This encouragement or “reward” happens through the auditory reinforcement of “beeps”.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a “ beep ” or sound	does	do	Sing	train	aux	How does a “beep” or sound train my brain to work better?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	TG Thomas , or Dr. Tom as he is widely known ,	is	be	Sing	member	cop	TG Thomas, or Dr. Tom as he is widely known, is a proud member of an Optimist Club.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Some spaces or establishments	have	have	Plur	have	root	4.9. Some spaces or establishments have defined schedules.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	Reciprocal Linking or participating in automated link exchange program	does	do	Sing	benefit	aux	Even though I may not 100% agree to what Google does (they do have some strict ruling about a lot of things), I do agree that Reciprocal Linking or participating in automated link exchange program does not benefit the user at all and it just benefits the webmaster to game the whole system!	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a goalless draw or even a loss to nil	is	be	Sing	result	cop	An away goal is a must because a goalless draw or even a loss to nil is a dangerous result to take back to Camp Nou.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	bad or good ,	becomes	become	Sing	become	root	So bad or good, you know, becomes a relative term in terms of the storyline that you’re telling, just know that whatever works effectively for you and don’t show what you are saying, that’s kind of a general rule to follow.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	have	root	If a person loses his or her trial, he or she has the right to appeal to the Circuit Court for a new trial.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	make	aux	Every time an FMA member writes a letter, makes a phone call or sends an e-mail to an elected official, he or she is making a certified deposit of political capital in the advocacy bank of FMA.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Enthusiasm , or lack of it ,	shows	show	Sing	show	root	Enthusiasm, or lack of it, shows through in everything we do and say.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	True	False	UNK	2	Sing	Not Pronoun	either you or Michelle	are	be	Plur	go	aux	We have about 800 entries so far and the rules are they have to pick 4 golfers and 1 of them has to be a Nike staffer, so either you or Michelle are going to be on their team.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	tablet enemies or true files	are	be	Plur	be	advcl	download линейные корабли типа кинг джордж, too if tablet enemies or true files are, we can find: We came This.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	one or both of your AirPods	go	go	Plur	go	advcl	Just launch the app if one or both of your AirPods go missing and it will get you to the spot where you misplaced your headphones.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Improper loading or overloading	leads	lead	Sing	lead	root	Improper loading or overloading leads to load shift and/or upset or rollover.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an older friend or relative	is	be	Sing	miss	aux	Research by Age Concern has shown that more than a third of us are worried that an older friend or relative is missing out on vital money benefits.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Systems designers or architects	find	find	Plur	find	root	Systems designers or architects find technical solutions that match the long-term goals of companies or organizations.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	offer	aux	I'll help you evaluate what type of broker you should be looking for, and when he or she is offering you a good deal or not.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	all or most	want	want	Plur	want	ccomp	That is not to say, that all or most just want to be housewives - especially among.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the product qualification or field performance	experiences	experience	Sing	experience	advcl	If the application the electrical engineering is considering the inclusion of a cooling fan is to operate for 10 years, then surprised when the product qualification or field performance experiences higher than expected fan failures.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A line of credit loan or LOC	is	be	Sing	loan	cop	A line of credit loan or LOC is a loan directly connected to your home loan that you can draw from continuously and at any time, usually at the same interest rate as your home loan.	c4-train.00001-of-01024_parsed_xad.conllu
SS	True	False	Sing	Not Pronoun	Sing	Not Pronoun	either a section or even the entire duct	has	have	Sing	have	root	Once damaged, either a section or even the entire duct has to be replaced, incurring not only the expenditure associated with the repair but also the high cost of downtime.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	M2 TS or MTS	is	be	Sing	type	cop	M2TS or MTS is a Sony high definition video file Type.	c4-train.00001-of-01024_parsed_xad.conllu
